EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;FONCTION;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28188;0,00;43975,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43975,25
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4011;0,00;0,00;0,00;0,00;598916,01;598916,01;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4021;0,00;0,00;0,00;0,00;273348,99;273348,99;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4041;0,00;29365,53;0,00;0,00;278450,13;249084,60;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;408;0,00;26085,53;0,00;0,00;26085,53;49365,91;0,00;0,00;0,00;49365,91
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;421;0,00;0,00;0,00;0,00;1801650,23;1960563,00;0,00;0,00;0,00;158912,77
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;431;0,00;0,00;0,00;0,00;1002426,12;1097543,49;0,00;0,00;0,00;95117,37
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;437;0,00;1690,09;0,00;0,00;212643,38;226927,06;0,00;0,00;0,00;15973,77
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4411;420000,00;0,00;0,00;0,00;2520000,00;2940000,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;44332;0,00;0,00;0,00;0,00;612832,08;612832,08;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;44381;0,00;0,00;0,00;0,00;603,00;603,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;44382;235845,00;0,00;0,00;0,00;0,00;235845,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;447;0,00;5694,00;0,00;0,00;91914,92;91886,92;0,00;0,00;0,00;5666,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4621;0,00;0,00;0,00;0,00;8000,00;8000,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;466;0,00;0,00;0,00;0,00;250000,00;250000,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;46711;0,00;0,00;0,00;0,00;105730,96;105730,96;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;46721;241,86;0,00;0,00;0,00;911441,22;723683,08;0,00;0,00;188000,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;46726;0,00;0,00;0,00;0,00;15000,00;0,00;0,00;0,00;15000,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4686;0,00;3555,12;0,00;0,00;3555,12;562,47;0,00;0,00;0,00;562,47
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4712;0,00;856,00;0,00;0,00;856,00;856,00;0,00;0,00;0,00;856,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;47134;0,00;0,00;0,00;0,00;282818,00;282818,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;47138;0,00;534,44;0,00;0,00;171255,70;178706,86;0,00;0,00;0,00;7985,60
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;471412;0,00;422832,08;0,00;0,00;423073,94;587314,95;0,00;0,00;0,00;587073,09
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;47143;0,00;0,00;0,00;0,00;250000,00;250000,00;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;4718;0,00;112290,04;0,00;0,00;4254037,39;4141853,35;0,00;0,00;0,00;106,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;47218;0,00;0,00;0,00;0,00;3281262,68;3013074,74;0,00;0,00;268187,94;0,00
